05:08:943365 | CLIENT | RCVD | ACK | 3700 | RELAY2 | CLIENT |
05:08:486328 | CLIENT | RCVD | ACK | 3800 | RELAY1 | CLIENT |
05:08:486764 | CLIENT | RCVD | ACK | 3900 | RELAY2 | CLIENT |
05:08:486870 | CLIENT | SENT | DATA | 4000 | CLIENT | RELAY1 |
05:08:486967 | CLIENT | SENT | DATA | 4100 | CLIENT | RELAY2 |
05:08:487043 | CLIENT | SENT | DATA | 4200 | CLIENT | RELAY1 |
05:08:487097 | CLIENT | SENT | DATA | 4300 | CLIENT | RELAY2 |
05:08:027228 | CLIENT | RCVD | ACK | 4000 | RELAY1 | CLIENT |
05:08:027398 | CLIENT | RCVD | ACK | 4100 | RELAY2 | CLIENT |
05:08:810956 | CLIENT | RCVD | ACK | 4200 | RELAY1 | CLIENT |
05:08:811084 | CLIENT | RCVD | ACK | 4300 | RELAY2 | CLIENT |
05:08:811181 | CLIENT | SENT | DATA | 4400 | CLIENT | RELAY1 |
05:08:811253 | CLIENT | SENT | DATA | 4500 | CLIENT | RELAY2 |
05:08:811310 | CLIENT | SENT | DATA | 4600 | CLIENT | RELAY1 |
05:08:811391 | CLIENT | SENT | DATA | 4700 | CLIENT | RELAY2 |
05:08:517121 | CLIENT | RCVD | ACK | 4400 | RELAY1 | CLIENT |
05:08:517302 | CLIENT | RCVD | ACK | 4500 | RELAY2 | CLIENT |
05:08:355849 | CLIENT | RCVD | ACK | 4600 | RELAY1 | CLIENT |
05:08:355976 | CLIENT | RCVD | ACK | 4700 | RELAY2 | CLIENT |
05:08:356065 | CLIENT | SENT | DATA | 4800 | CLIENT | RELAY1 |
05:08:356149 | CLIENT | SENT | DATA | 4900 | CLIENT | RELAY2 |
05:08:356203 | CLIENT | SENT | DATA | 5000 | CLIENT | RELAY1 |
05:08:356286 | CLIENT | SENT | DATA | 5100 | CLIENT | RELAY2 |
05:08:255365 | CLIENT | RCVD | ACK | 4800 | RELAY1 | CLIENT |
05:08:255589 | CLIENT | RCVD | ACK | 4900 | RELAY2 | CLIENT |
05:08:428162 | CLIENT | RCVD | ACK | 5000 | RELAY1 | CLIENT |
05:08:428912 | CLIENT | RCVD | ACK | 5100 | RELAY2 | CLIENT |
05:08:429058 | CLIENT | SENT | DATA | 5200 | CLIENT | RELAY1 |
05:08:429142 | CLIENT | SENT | DATA | 5300 | CLIENT | RELAY2 |
05:08:429311 | CLIENT | SENT | DATA | 5400 | CLIENT | RELAY1 |
05:08:429392 | CLIENT | SENT | DATA | 5500 | CLIENT | RELAY2 |
05:08:756328 | CLIENT | RCVD | ACK | 5300 | RELAY2 | CLIENT |
