05:08:943423 | RELAY2 | RCVD | DATA | 3900 | CLIENT | RELAY2 |
05:08:486322 | RELAY2 | SENT | DATA | 3900 | RELAY2 | SERVER |
05:08:486609 | RELAY2 | RCVD | ACK | 3900 | SERVER | RELAY2 |
05:08:486729 | RELAY2 | SENT | ACK | 3900 | RELAY2 | CLIENT |
05:08:486983 | RELAY2 | RCVD | DATA | 4100 | CLIENT | RELAY2 |
05:08:026987 | RELAY2 | SENT | DATA | 4100 | RELAY2 | SERVER |
05:08:027261 | RELAY2 | RCVD | ACK | 4100 | SERVER | RELAY2 |
05:08:027388 | RELAY2 | SENT | ACK | 4100 | RELAY2 | CLIENT |
05:08:027432 | RELAY2 | RCVD | DATA | 4300 | CLIENT | RELAY2 |
05:08:810691 | RELAY2 | SENT | DATA | 4300 | RELAY2 | SERVER |
05:08:810978 | RELAY2 | RCVD | ACK | 4300 | SERVER | RELAY2 |
05:08:811067 | RELAY2 | SENT | ACK | 4300 | RELAY2 | CLIENT |
05:08:811283 | RELAY2 | RCVD | DATA | 4500 | CLIENT | RELAY2 |
05:08:516524 | RELAY2 | SENT | DATA | 4500 | RELAY2 | SERVER |
05:08:517130 | RELAY2 | RCVD | ACK | 4500 | SERVER | RELAY2 |
05:08:517270 | RELAY2 | SENT | ACK | 4500 | RELAY2 | CLIENT |
05:08:517352 | RELAY2 | RCVD | DATA | 4700 | CLIENT | RELAY2 |
05:08:355604 | RELAY2 | SENT | DATA | 4700 | RELAY2 | SERVER |
05:08:355836 | RELAY2 | RCVD | ACK | 4700 | SERVER | RELAY2 |
05:08:355953 | RELAY2 | SENT | ACK | 4700 | RELAY2 | CLIENT |
05:08:356193 | RELAY2 | RCVD | DATA | 4900 | CLIENT | RELAY2 |
05:08:255069 | RELAY2 | SENT | DATA | 4900 | RELAY2 | SERVER |
05:08:255422 | RELAY2 | RCVD | ACK | 4900 | SERVER | RELAY2 |
05:08:255559 | RELAY2 | SENT | ACK | 4900 | RELAY2 | CLIENT |
05:08:255626 | RELAY2 | RCVD | DATA | 5100 | CLIENT | RELAY2 |
05:08:428080 | RELAY2 | SENT | DATA | 5100 | RELAY2 | SERVER |
05:08:428512 | RELAY2 | RCVD | ACK | 5100 | SERVER | RELAY2 |
05:08:428774 | RELAY2 | SENT | ACK | 5100 | RELAY2 | CLIENT |
05:08:429171 | RELAY2 | RCVD | DATA | 5300 | CLIENT | RELAY2 |
05:08:755933 | RELAY2 | SENT | DATA | 5300 | RELAY2 | SERVER |
05:08:756169 | RELAY2 | RCVD | ACK | 5300 | SERVER | RELAY2 |
05:08:756294 | RELAY2 | SENT | ACK | 5300 | RELAY2 | CLIENT |
05:08:756435 | RELAY2 | RCVD | DATA | 5500 | CLIENT | RELAY2 |
05:08:454520 | RELAY2 | SENT | DATA | 5500 | RELAY2 | SERVER |
05:08:454764 | RELAY2 | RCVD | ACK | 5500 | SERVER | RELAY2 |
05:08:454906 | RELAY2 | SENT | ACK | 5500 | RELAY2 | CLIENT |
05:08:455466 | RELAY2 | RCVD | DATA | 5700 | CLIENT | RELAY2 |
05:08:495721 | RELAY2 | SENT | DATA | 5700 | RELAY2 | SERVER |
05:08:495775 | RELAY2 | RCVD | ACK | 5700 | SERVER | RELAY2 |
05:08:495802 | RELAY2 | SENT | ACK | 5700 | RELAY2 | CLIENT |
05:08:495813 | RELAY2 | RCVD | DATA | 5900 | CLIENT | RELAY2 |
05:08:622096 | RELAY2 | SENT | DATA | 5900 | RELAY2 | SERVER |
05:08:622189 | RELAY2 | RCVD | ACK | 5900 | SERVER | RELAY2 |
05:08:622223 | RELAY2 | SENT | ACK | 5900 | RELAY2 | CLIENT |
05:08:622271 | RELAY2 | RCVD | DATA | 6100 | CLIENT | RELAY2 |
05:08:622285 | RELAY2 | DROP | DATA | 6100 | CLIENT | RELAY2 |
05:08:622302 | RELAY2 | RCVD | DATA | 6300 | CLIENT | RELAY2 |
05:08:426877 | RELAY2 | SENT | DATA | 6300 | RELAY2 | SERVER |
05:08:427046 | RELAY2 | RCVD | ACK | 6300 | SERVER | RELAY2 |
05:08:427105 | RELAY2 | SENT | ACK | 6300 | RELAY2 | CLIENT |
05:08:429016 | RELAY2 | RCVD | DATA | 6100 | CLIENT | RELAY2 |
05:08:962481 | RELAY2 | SENT | DATA | 6100 | RELAY2 | SERVER |
05:08:962526 | RELAY2 | RCVD | ACK | 6100 | SERVER | RELAY2 |
05:08:962555 | RELAY2 | SENT | ACK | 6100 | RELAY2 | CLIENT |
05:08:962599 | RELAY2 | RCVD | DATA | 6500 | CLIENT | RELAY2 |
05:08:962627 | RELAY2 | DROP | DATA | 6500 | CLIENT | RELAY2 |
