05:08:922007 | RELAY1 | RCVD | DATA | 0 | CLIENT | RELAY1 |
05:08:711214 | RELAY1 | SENT | DATA | 0 | RELAY1 | SERVER |
05:08:711747 | RELAY1 | RCVD | ACK | 0 | SERVER | RELAY1 |
05:08:711922 | RELAY1 | SENT | ACK | 0 | RELAY1 | CLIENT |
05:08:712297 | RELAY1 | RCVD | DATA | 200 | CLIENT | RELAY1 |
05:08:309453 | RELAY1 | SENT | DATA | 200 | RELAY1 | SERVER |
05:08:309697 | RELAY1 | RCVD | ACK | 200 | SERVER | RELAY1 |
05:08:309873 | RELAY1 | SENT | ACK | 200 | RELAY1 | CLIENT |
05:08:310196 | RELAY1 | RCVD | DATA | 400 | CLIENT | RELAY1 |
05:08:705568 | RELAY1 | SENT | DATA | 400 | RELAY1 | SERVER |
05:08:705884 | RELAY1 | RCVD | ACK | 400 | SERVER | RELAY1 |
05:08:706000 | RELAY1 | SENT | ACK | 400 | RELAY1 | CLIENT |
05:08:706048 | RELAY1 | RCVD | DATA | 600 | CLIENT | RELAY1 |
05:08:242749 | RELAY1 | SENT | DATA | 600 | RELAY1 | SERVER |
05:08:242938 | RELAY1 | RCVD | ACK | 600 | SERVER | RELAY1 |
05:08:243019 | RELAY1 | SENT | ACK | 600 | RELAY1 | CLIENT |
05:08:243593 | RELAY1 | RCVD | DATA | 800 | CLIENT | RELAY1 |
05:08:351824 | RELAY1 | SENT | DATA | 800 | RELAY1 | SERVER |
05:08:352128 | RELAY1 | RCVD | ACK | 800 | SERVER | RELAY1 |
05:08:352262 | RELAY1 | SENT | ACK | 800 | RELAY1 | CLIENT |
05:08:352311 | RELAY1 | RCVD | DATA | 1000 | CLIENT | RELAY1 |
05:08:610698 | RELAY1 | SENT | DATA | 1000 | RELAY1 | SERVER |
05:08:610980 | RELAY1 | RCVD | ACK | 1000 | SERVER | RELAY1 |
05:08:611130 | RELAY1 | SENT | ACK | 1000 | RELAY1 | CLIENT |
05:08:611489 | RELAY1 | RCVD | DATA | 1200 | CLIENT | RELAY1 |
05:08:638505 | RELAY1 | SENT | DATA | 1200 | RELAY1 | SERVER |
05:08:638621 | RELAY1 | RCVD | ACK | 1200 | SERVER | RELAY1 |
05:08:638649 | RELAY1 | SENT | ACK | 1200 | RELAY1 | CLIENT |
05:08:638664 | RELAY1 | RCVD | DATA | 1400 | CLIENT | RELAY1 |
05:08:471161 | RELAY1 | SENT | DATA | 1400 | RELAY1 | SERVER |
05:08:471273 | RELAY1 | RCVD | ACK | 1400 | SERVER | RELAY1 |
05:08:471297 | RELAY1 | SENT | ACK | 1400 | RELAY1 | CLIENT |
05:08:471384 | RELAY1 | RCVD | DATA | 1600 | CLIENT | RELAY1 |
05:08:906205 | RELAY1 | SENT | DATA | 1600 | RELAY1 | SERVER |
05:08:906449 | RELAY1 | RCVD | ACK | 1600 | SERVER | RELAY1 |
05:08:906560 | RELAY1 | SENT | ACK | 1600 | RELAY1 | CLIENT |
05:08:906599 | RELAY1 | RCVD | DATA | 1800 | CLIENT | RELAY1 |
05:08:120896 | RELAY1 | SENT | DATA | 1800 | RELAY1 | SERVER |
05:08:121086 | RELAY1 | RCVD | ACK | 1800 | SERVER | RELAY1 |
05:08:121174 | RELAY1 | SENT | ACK | 1800 | RELAY1 | CLIENT |
05:08:121410 | RELAY1 | RCVD | DATA | 2000 | CLIENT | RELAY1 |
05:08:607449 | RELAY1 | SENT | DATA | 2000 | RELAY1 | SERVER |
05:08:607667 | RELAY1 | RCVD | ACK | 2000 | SERVER | RELAY1 |
05:08:607768 | RELAY1 | SENT | ACK | 2000 | RELAY1 | CLIENT |
05:08:607800 | RELAY1 | RCVD | DATA | 2200 | CLIENT | RELAY1 |
05:08:216271 | RELAY1 | SENT | DATA | 2200 | RELAY1 | SERVER |
05:08:216326 | RELAY1 | RCVD | ACK | 2200 | SERVER | RELAY1 |
05:08:216346 | RELAY1 | SENT | ACK | 2200 | RELAY1 | CLIENT |
05:08:216495 | RELAY1 | RCVD | DATA | 2400 | CLIENT | RELAY1 |
05:08:018572 | RELAY1 | SENT | DATA | 2400 | RELAY1 | SERVER |
05:08:018733 | RELAY1 | RCVD | ACK | 2400 | SERVER | RELAY1 |
05:08:018805 | RELAY1 | SENT | ACK | 2400 | RELAY1 | CLIENT |
05:08:018936 | RELAY1 | RCVD | DATA | 2600 | CLIENT | RELAY1 |
05:08:236770 | RELAY1 | SENT | DATA | 2600 | RELAY1 | SERVER |
05:08:236995 | RELAY1 | RCVD | ACK | 2600 | SERVER | RELAY1 |
05:08:237098 | RELAY1 | SENT | ACK | 2600 | RELAY1 | CLIENT |
05:08:237363 | RELAY1 | RCVD | DATA | 2800 | CLIENT | RELAY1 |
05:08:674011 | RELAY1 | SENT | DATA | 2800 | RELAY1 | SERVER |
05:08:674077 | RELAY1 | RCVD | ACK | 2800 | SERVER | RELAY1 |
05:08:674106 | RELAY1 | SENT | ACK | 2800 | RELAY1 | CLIENT |
05:08:674122 | RELAY1 | RCVD | DATA | 3000 | CLIENT | RELAY1 |
05:08:352530 | RELAY1 | SENT | DATA | 3000 | RELAY1 | SERVER |
05:08:352802 | RELAY1 | RCVD | ACK | 3000 | SERVER | RELAY1 |
05:08:352893 | RELAY1 | SENT | ACK | 3000 | RELAY1 | CLIENT |
05:08:353331 | RELAY1 | RCVD | DATA | 3200 | CLIENT | RELAY1 |
05:08:945645 | RELAY1 | SENT | DATA | 3200 | RELAY1 | SERVER |
05:08:945871 | RELAY1 | RCVD | ACK | 3200 | SERVER | RELAY1 |
05:08:945972 | RELAY1 | SENT | ACK | 3200 | RELAY1 | CLIENT |
05:08:946006 | RELAY1 | RCVD | DATA | 3400 | CLIENT | RELAY1 |
05:08:995336 | RELAY1 | SENT | DATA | 3400 | RELAY1 | SERVER |
05:08:996336 | RELAY1 | RCVD | ACK | 3400 | SERVER | RELAY1 |
05:08:996455 | RELAY1 | SENT | ACK | 3400 | RELAY1 | CLIENT |
05:08:996760 | RELAY1 | RCVD | DATA | 3600 | CLIENT | RELAY1 |
05:08:942637 | RELAY1 | SENT | DATA | 3600 | RELAY1 | SERVER |
05:08:942847 | RELAY1 | RCVD | ACK | 3600 | SERVER | RELAY1 |
05:08:943040 | RELAY1 | SENT | ACK | 3600 | RELAY1 | CLIENT |
05:08:943071 | RELAY1 | RCVD | DATA | 3800 | CLIENT | RELAY1 |
05:08:486001 | RELAY1 | SENT | DATA | 3800 | RELAY1 | SERVER |
05:08:486192 | RELAY1 | RCVD | ACK | 3800 | SERVER | RELAY1 |
05:08:486285 | RELAY1 | SENT | ACK | 3800 | RELAY1 | CLIENT |
05:08:486889 | RELAY1 | RCVD | DATA | 4000 | CLIENT | RELAY1 |
05:08:026928 | RELAY1 | SENT | DATA | 4000 | RELAY1 | SERVER |
05:08:027108 | RELAY1 | RCVD | ACK | 4000 | SERVER | RELAY1 |
05:08:027184 | RELAY1 | SENT | ACK | 4000 | RELAY1 | CLIENT |
05:08:027219 | RELAY1 | RCVD | DATA | 4200 | CLIENT | RELAY1 |
05:08:810576 | RELAY1 | SENT | DATA | 4200 | RELAY1 | SERVER |
05:08:810740 | RELAY1 | RCVD | ACK | 4200 | SERVER | RELAY1 |
05:08:810898 | RELAY1 | SENT | ACK | 4200 | RELAY1 | CLIENT |
05:08:811221 | RELAY1 | RCVD | DATA | 4400 | CLIENT | RELAY1 |
05:08:516524 | RELAY1 | SENT | DATA | 4400 | RELAY1 | SERVER |
05:08:516875 | RELAY1 | RCVD | ACK | 4400 | SERVER | RELAY1 |
05:08:517013 | RELAY1 | SENT | ACK | 4400 | RELAY1 | CLIENT |
05:08:517087 | RELAY1 | RCVD | DATA | 4600 | CLIENT | RELAY1 |
05:08:355452 | RELAY1 | SENT | DATA | 4600 | RELAY1 | SERVER |
05:08:355705 | RELAY1 | RCVD | ACK | 4600 | SERVER | RELAY1 |
05:08:355804 | RELAY1 | SENT | ACK | 4600 | RELAY1 | CLIENT |
05:08:356104 | RELAY1 | RCVD | DATA | 4800 | CLIENT | RELAY1 |
05:08:255030 | RELAY1 | SENT | DATA | 4800 | RELAY1 | SERVER |
05:08:255228 | RELAY1 | RCVD | ACK | 4800 | SERVER | RELAY1 |
05:08:255311 | RELAY1 | SENT | ACK | 4800 | RELAY1 | CLIENT |
05:08:255347 | RELAY1 | RCVD | DATA | 5000 | CLIENT | RELAY1 |
05:08:427747 | RELAY1 | SENT | DATA | 5000 | RELAY1 | SERVER |
05:08:427962 | RELAY1 | RCVD | ACK | 5000 | SERVER | RELAY1 |
05:08:428062 | RELAY1 | SENT | ACK | 5000 | RELAY1 | CLIENT |
05:08:429170 | RELAY1 | RCVD | DATA | 5200 | CLIENT | RELAY1 |
05:08:755933 | RELAY1 | SENT | DATA | 5200 | RELAY1 | SERVER |
05:08:756252 | RELAY1 | RCVD | ACK | 5200 | SERVER | RELAY1 |
05:08:756533 | RELAY1 | SENT | ACK | 5200 | RELAY1 | CLIENT |
05:08:756657 | RELAY1 | RCVD | DATA | 5400 | CLIENT | RELAY1 |
05:08:454638 | RELAY1 | SENT | DATA | 5400 | RELAY1 | SERVER |
05:08:455067 | RELAY1 | RCVD | ACK | 5400 | SERVER | RELAY1 |
05:08:455174 | RELAY1 | SENT | ACK | 5400 | RELAY1 | CLIENT |
05:08:455389 | RELAY1 | RCVD | DATA | 5600 | CLIENT | RELAY1 |
05:08:495613 | RELAY1 | SENT | DATA | 5600 | RELAY1 | SERVER |
05:08:495664 | RELAY1 | RCVD | ACK | 5600 | SERVER | RELAY1 |
05:08:495692 | RELAY1 | SENT | ACK | 5600 | RELAY1 | CLIENT |
05:08:495709 | RELAY1 | RCVD | DATA | 5800 | CLIENT | RELAY1 |
05:08:622044 | RELAY1 | SENT | DATA | 5800 | RELAY1 | SERVER |
05:08:622108 | RELAY1 | RCVD | ACK | 5800 | SERVER | RELAY1 |
05:08:622133 | RELAY1 | SENT | ACK | 5800 | RELAY1 | CLIENT |
05:08:622269 | RELAY1 | RCVD | DATA | 6000 | CLIENT | RELAY1 |
05:08:622288 | RELAY1 | DROP | DATA | 6000 | CLIENT | RELAY1 |
05:08:622299 | RELAY1 | RCVD | DATA | 6200 | CLIENT | RELAY1 |
05:08:426875 | RELAY1 | SENT | DATA | 6200 | RELAY1 | SERVER |
05:08:426954 | RELAY1 | RCVD | ACK | 6200 | SERVER | RELAY1 |
05:08:426994 | RELAY1 | SENT | ACK | 6200 | RELAY1 | CLIENT |
05:08:428929 | RELAY1 | RCVD | DATA | 6000 | CLIENT | RELAY1 |
05:08:962429 | RELAY1 | SENT | DATA | 6000 | RELAY1 | SERVER |
05:08:962477 | RELAY1 | RCVD | ACK | 6000 | SERVER | RELAY1 |
05:08:962496 | RELAY1 | SENT | ACK | 6000 | RELAY1 | CLIENT |
05:08:962590 | RELAY1 | RCVD | DATA | 6400 | CLIENT | RELAY1 |
05:08:962628 | RELAY1 | DROP | DATA | 6400 | CLIENT | RELAY1 |
05:08:962647 | RELAY1 | RCVD | DATA | 6600 | CLIENT | RELAY1 |
05:08:483481 | RELAY1 | SENT | DATA | 6600 | RELAY1 | SERVER |
05:08:483681 | RELAY1 | RCVD | ACK | 6600 | SERVER | RELAY1 |
05:08:483828 | RELAY1 | SENT | ACK | 6600 | RELAY1 | CLIENT |
05:08:487202 | RELAY1 | RCVD | DATA | 6400 | CLIENT | RELAY1 |
05:08:822907 | RELAY1 | SENT | DATA | 6400 | RELAY1 | SERVER |
05:08:823125 | RELAY1 | RCVD | ACK | 6400 | SERVER | RELAY1 |
05:08:823223 | RELAY1 | SENT | ACK | 6400 | RELAY1 | CLIENT |
05:08:823455 | RELAY1 | RCVD | DATA | 6800 | CLIENT | RELAY1 |
05:08:902206 | RELAY1 | SENT | DATA | 6800 | RELAY1 | SERVER |
05:08:902277 | RELAY1 | RCVD | ACK | 6800 | SERVER | RELAY1 |
05:08:902307 | RELAY1 | SENT | ACK | 6800 | RELAY1 | CLIENT |
05:08:902363 | RELAY1 | RCVD | DATA | 7000 | CLIENT | RELAY1 |
05:09:766183 | RELAY1 | SENT | DATA | 7000 | RELAY1 | SERVER |
05:09:766298 | RELAY1 | RCVD | ACK | 7000 | SERVER | RELAY1 |
05:09:766340 | RELAY1 | SENT | ACK | 7000 | RELAY1 | CLIENT |
05:09:766541 | RELAY1 | RCVD | DATA | 7200 | CLIENT | RELAY1 |
05:09:208625 | RELAY1 | SENT | DATA | 7200 | RELAY1 | SERVER |
05:09:208737 | RELAY1 | RCVD | ACK | 7200 | SERVER | RELAY1 |
05:09:208776 | RELAY1 | SENT | ACK | 7200 | RELAY1 | CLIENT |
05:09:208798 | RELAY1 | RCVD | DATA | 7400 | CLIENT | RELAY1 |
05:09:686021 | RELAY1 | SENT | DATA | 7400 | RELAY1 | SERVER |
05:09:686133 | RELAY1 | RCVD | ACK | 7400 | SERVER | RELAY1 |
05:09:686215 | RELAY1 | SENT | ACK | 7400 | RELAY1 | CLIENT |
05:09:686372 | RELAY1 | RCVD | DATA | 7600 | CLIENT | RELAY1 |
05:09:394701 | RELAY1 | SENT | DATA | 7600 | RELAY1 | SERVER |
05:09:395177 | RELAY1 | RCVD | ACK | 7600 | SERVER | RELAY1 |
05:09:395271 | RELAY1 | SENT | ACK | 7600 | RELAY1 | CLIENT |
05:09:395335 | RELAY1 | RCVD | DATA | 7800 | CLIENT | RELAY1 |
05:09:727441 | RELAY1 | SENT | DATA | 7800 | RELAY1 | SERVER |
05:09:727582 | RELAY1 | RCVD | ACK | 7800 | SERVER | RELAY1 |
05:09:727625 | RELAY1 | SENT | ACK | 7800 | RELAY1 | CLIENT |
05:09:727684 | RELAY1 | RCVD | DATA | 8000 | CLIENT | RELAY1 |
05:09:488068 | RELAY1 | SENT | DATA | 8000 | RELAY1 | SERVER |
05:09:488290 | RELAY1 | RCVD | ACK | 8000 | SERVER | RELAY1 |
05:09:488374 | RELAY1 | SENT | ACK | 8000 | RELAY1 | CLIENT |
05:09:488431 | RELAY1 | RCVD | DATA | 8200 | CLIENT | RELAY1 |
05:09:149398 | RELAY1 | SENT | DATA | 8200 | RELAY1 | SERVER |
05:09:149587 | RELAY1 | RCVD | ACK | 8200 | SERVER | RELAY1 |
05:09:149801 | RELAY1 | SENT | ACK | 8200 | RELAY1 | CLIENT |
05:09:150272 | RELAY1 | RCVD | DATA | 8400 | CLIENT | RELAY1 |
05:09:150331 | RELAY1 | DROP | DATA | 8400 | CLIENT | RELAY1 |
05:09:154356 | RELAY1 | RCVD | DATA | 8400 | CLIENT | RELAY1 |
05:09:855289 | RELAY1 | SENT | DATA | 8400 | RELAY1 | SERVER |
05:09:855579 | RELAY1 | RCVD | ACK | 8400 | SERVER | RELAY1 |
05:09:855683 | RELAY1 | SENT | ACK | 8400 | RELAY1 | CLIENT |
