05:08:027096 | SERVER | SENT | ACK | 4000 | SERVER | RELAY1 |
05:08:027148 | SERVER | RCVD | DATA | 4100 | RELAY2 | SERVER |
05:08:027237 | SERVER | SENT | ACK | 4100 | SERVER | RELAY2 |
05:08:810576 | SERVER | RCVD | DATA | 4200 | RELAY1 | SERVER |
05:08:810735 | SERVER | SENT | ACK | 4200 | SERVER | RELAY1 |
05:08:810862 | SERVER | RCVD | DATA | 4300 | RELAY2 | SERVER |
05:08:810959 | SERVER | SENT | ACK | 4300 | SERVER | RELAY2 |
05:08:516691 | SERVER | RCVD | DATA | 4400 | RELAY1 | SERVER |
05:08:516855 | SERVER | SENT | ACK | 4400 | SERVER | RELAY1 |
05:08:516968 | SERVER | RCVD | DATA | 4500 | RELAY2 | SERVER |
05:08:517083 | SERVER | SENT | ACK | 4500 | SERVER | RELAY2 |
05:08:355513 | SERVER | RCVD | DATA | 4600 | RELAY1 | SERVER |
05:08:355668 | SERVER | SENT | ACK | 4600 | SERVER | RELAY1 |
05:08:355706 | SERVER | RCVD | DATA | 4700 | RELAY2 | SERVER |
05:08:355770 | SERVER | SENT | ACK | 4700 | SERVER | RELAY2 |
05:08:255030 | SERVER | RCVD | DATA | 4800 | RELAY1 | SERVER |
05:08:255215 | SERVER | SENT | ACK | 4800 | SERVER | RELAY1 |
05:08:255278 | SERVER | RCVD | DATA | 4900 | RELAY2 | SERVER |
05:08:255377 | SERVER | SENT | ACK | 4900 | SERVER | RELAY2 |
05:08:427747 | SERVER | RCVD | DATA | 5000 | RELAY1 | SERVER |
05:08:427947 | SERVER | SENT | ACK | 5000 | SERVER | RELAY1 |
05:08:428062 | SERVER | RCVD | DATA | 5100 | RELAY2 | SERVER |
05:08:428484 | SERVER | SENT | ACK | 5100 | SERVER | RELAY2 |
05:08:755967 | SERVER | RCVD | DATA | 5300 | RELAY2 | SERVER |
05:08:756083 | SERVER | SENT | ACK | 5300 | SERVER | RELAY2 |
05:08:756111 | SERVER | RCVD | DATA | 5200 | RELAY1 | SERVER |
05:08:756213 | SERVER | SENT | ACK | 5200 | SERVER | RELAY1 |
05:08:454520 | SERVER | RCVD | DATA | 5500 | RELAY2 | SERVER |
05:08:454733 | SERVER | SENT | ACK | 5500 | SERVER | RELAY2 |
05:08:454847 | SERVER | RCVD | DATA | 5400 | RELAY1 | SERVER |
05:08:455017 | SERVER | SENT | ACK | 5400 | SERVER | RELAY1 |
05:08:495614 | SERVER | RCVD | DATA | 5600 | RELAY1 | SERVER |
05:08:495659 | SERVER | SENT | ACK | 5600 | SERVER | RELAY1 |
05:08:495745 | SERVER | RCVD | DATA | 5700 | RELAY2 | SERVER |
05:08:495768 | SERVER | SENT | ACK | 5700 | SERVER | RELAY2 |
05:08:622044 | SERVER | RCVD | DATA | 5800 | RELAY1 | SERVER |
05:08:622105 | SERVER | SENT | ACK | 5800 | SERVER | RELAY1 |
05:08:622118 | SERVER | RCVD | DATA | 5900 | RELAY2 | SERVER |
05:08:622140 | SERVER | SENT | ACK | 5900 | SERVER | RELAY2 |
05:08:426875 | SERVER | RCVD | DATA | 6200 | RELAY1 | SERVER |
05:08:426952 | SERVER | SENT | ACK | 6200 | SERVER | RELAY1 |
05:08:426977 | SERVER | RCVD | DATA | 6300 | RELAY2 | SERVER |
05:08:427021 | SERVER | SENT | ACK | 6300 | SERVER | RELAY2 |
05:08:962429 | SERVER | RCVD | DATA | 6000 | RELAY1 | SERVER |
05:08:962477 | SERVER | SENT | ACK | 6000 | SERVER | RELAY1 |
05:08:962489 | SERVER | RCVD | DATA | 6100 | RELAY2 | SERVER |
05:08:962517 | SERVER | SENT | ACK | 6100 | SERVER | RELAY2 |
05:08:483538 | SERVER | RCVD | DATA | 6600 | RELAY1 | SERVER |
05:08:483652 | SERVER | SENT | ACK | 6600 | SERVER | RELAY1 |
05:08:483785 | SERVER | RCVD | DATA | 6700 | RELAY2 | SERVER |
05:08:483894 | SERVER | SENT | ACK | 6700 | SERVER | RELAY2 |
05:08:822946 | SERVER | RCVD | DATA | 6400 | RELAY1 | SERVER |
05:08:823064 | SERVER | SENT | ACK | 6400 | SERVER | RELAY1 |
05:08:823104 | SERVER | RCVD | DATA | 6500 | RELAY2 | SERVER |
05:08:823160 | SERVER | SENT | ACK | 6500 | SERVER | RELAY2 |
05:08:902206 | SERVER | RCVD | DATA | 6800 | RELAY1 | SERVER |
05:08:902270 | SERVER | SENT | ACK | 6800 | SERVER | RELAY1 |
05:08:902281 | SERVER | RCVD | DATA | 6900 | RELAY2 | SERVER |
05:08:902301 | SERVER | SENT | ACK | 6900 | SERVER | RELAY2 |
05:09:766189 | SERVER | RCVD | DATA | 7000 | RELAY1 | SERVER |
05:09:766296 | SERVER | SENT | ACK | 7000 | SERVER | RELAY1 |
05:09:766323 | SERVER | RCVD | DATA | 7100 | RELAY2 | SERVER |
05:09:766385 | SERVER | SENT | ACK | 7100 | SERVER | RELAY2 |
05:09:208655 | SERVER | RCVD | DATA | 7200 | RELAY1 | SERVER |
05:09:208726 | SERVER | SENT | ACK | 7200 | SERVER | RELAY1 |
05:09:208747 | SERVER | RCVD | DATA | 7300 | RELAY2 | SERVER |
05:09:208798 | SERVER | SENT | ACK | 7300 | SERVER | RELAY2 |
05:09:686041 | SERVER | RCVD | DATA | 7400 | RELAY1 | SERVER |
05:09:686124 | SERVER | SENT | ACK | 7400 | SERVER | RELAY1 |
05:09:686196 | SERVER | RCVD | DATA | 7500 | RELAY2 | SERVER |
05:09:686249 | SERVER | SENT | ACK | 7500 | SERVER | RELAY2 |
05:09:394705 | SERVER | RCVD | DATA | 7700 | RELAY2 | SERVER |
05:09:394865 | SERVER | SENT | ACK | 7700 | SERVER | RELAY2 |
05:09:394971 | SERVER | RCVD | DATA | 7600 | RELAY1 | SERVER |
05:09:395105 | SERVER | SENT | ACK | 7600 | SERVER | RELAY1 |
05:09:727233 | SERVER | RCVD | DATA | 7900 | RELAY2 | SERVER |
05:09:727285 | SERVER | SENT | ACK | 7900 | SERVER | RELAY2 |
05:09:727483 | SERVER | RCVD | DATA | 7800 | RELAY1 | SERVER |
05:09:727566 | SERVER | SENT | ACK | 7800 | SERVER | RELAY1 |
05:09:488087 | SERVER | RCVD | DATA | 8000 | RELAY1 | SERVER |
05:09:488277 | SERVER | SENT | ACK | 8000 | SERVER | RELAY1 |
05:09:488337 | SERVER | RCVD | DATA | 8100 | RELAY2 | SERVER |
05:09:488466 | SERVER | SENT | ACK | 8100 | SERVER | RELAY2 |
05:09:149440 | SERVER | RCVD | DATA | 8200 | RELAY1 | SERVER |
05:09:149580 | SERVER | SENT | ACK | 8200 | SERVER | RELAY1 |
05:09:149755 | SERVER | RCVD | DATA | 8300 | RELAY2 | SERVER |
05:09:149869 | SERVER | SENT | ACK | 8300 | SERVER | RELAY2 |
05:09:855341 | SERVER | RCVD | DATA | 8400 | RELAY1 | SERVER |
05:09:855504 | SERVER | SENT | ACK | 8400 | SERVER | RELAY1 |
