05:15:173945 | CLIENT | SENT | DATA | 4100 | CLIENT | SERVER |
05:15:174047 | CLIENT | RCVD | ACK | 4100 | SERVER | CLIENT |
05:15:174154 | CLIENT | SENT | DATA | 4200 | CLIENT | SERVER |
05:15:174327 | CLIENT | RCVD | ACK | 4200 | SERVER | CLIENT |
05:15:174432 | CLIENT | SENT | DATA | 4300 | CLIENT | SERVER |
05:15:174528 | CLIENT | RCVD | ACK | 4300 | SERVER | CLIENT |
05:15:174629 | CLIENT | SENT | DATA | 4400 | CLIENT | SERVER |
05:15:174780 | CLIENT | RCVD | ACK | 4400 | SERVER | CLIENT |
05:15:174923 | CLIENT | SENT | DATA | 4500 | CLIENT | SERVER |
05:15:175042 | CLIENT | RCVD | ACK | 4500 | SERVER | CLIENT |
05:15:175148 | CLIENT | SENT | DATA | 4600 | CLIENT | SERVER |
05:15:175249 | CLIENT | RCVD | ACK | 4600 | SERVER | CLIENT |
05:15:175356 | CLIENT | SENT | DATA | 4700 | CLIENT | SERVER |
05:15:175465 | CLIENT | RCVD | ACK | 4700 | SERVER | CLIENT |
05:15:175572 | CLIENT | SENT | DATA | 4800 | CLIENT | SERVER |
05:15:175676 | CLIENT | RCVD | ACK | 4800 | SERVER | CLIENT |
05:15:175786 | CLIENT | SENT | DATA | 4900 | CLIENT | SERVER |
05:15:175889 | CLIENT | RCVD | ACK | 4900 | SERVER | CLIENT |
05:15:175990 | CLIENT | SENT | DATA | 5000 | CLIENT | SERVER |
05:15:176089 | CLIENT | RCVD | ACK | 5000 | SERVER | CLIENT |
05:15:176180 | CLIENT | SENT | DATA | 5100 | CLIENT | SERVER |
05:15:176345 | CLIENT | RCVD | ACK | 5100 | SERVER | CLIENT |
05:15:176457 | CLIENT | SENT | DATA | 5200 | CLIENT | SERVER |
05:15:176560 | CLIENT | RCVD | ACK | 5200 | SERVER | CLIENT |
05:15:176766 | CLIENT | SENT | DATA | 5300 | CLIENT | SERVER |
05:15:176874 | CLIENT | RCVD | ACK | 5300 | SERVER | CLIENT |
05:15:176988 | CLIENT | SENT | DATA | 5400 | CLIENT | SERVER |
05:15:177099 | CLIENT | RCVD | ACK | 5400 | SERVER | CLIENT |
05:15:177225 | CLIENT | SENT | DATA | 5500 | CLIENT | SERVER |
05:15:177423 | CLIENT | RCVD | ACK | 5500 | SERVER | CLIENT |
05:15:177738 | CLIENT | SENT | DATA | 5600 | CLIENT | SERVER |
05:15:177800 | CLIENT | RCVD | ACK | 5600 | SERVER | CLIENT |
05:15:177883 | CLIENT | SENT | DATA | 5700 | CLIENT | SERVER |
05:15:177993 | CLIENT | RCVD | ACK | 5700 | SERVER | CLIENT |
05:15:178083 | CLIENT | SENT | DATA | 5800 | CLIENT | SERVER |
05:15:178216 | CLIENT | RCVD | ACK | 5800 | SERVER | CLIENT |
05:15:178303 | CLIENT | SENT | DATA | 5900 | CLIENT | SERVER |
05:15:178398 | CLIENT | RCVD | ACK | 5900 | SERVER | CLIENT |
05:15:178485 | CLIENT | SENT | DATA | 6000 | CLIENT | SERVER |
05:15:172915 | CLIENT | RETRANSMIT | DATA | 3100 | CLIENT | SERVER |
05:15:173639 | CLIENT | RCVD | ACK | 3100 | SERVER | CLIENT |
05:15:173849 | CLIENT | SENT | DATA | 6100 | CLIENT | SERVER |
05:15:173981 | CLIENT | RCVD | ACK | 6100 | SERVER | CLIENT |
05:15:174105 | CLIENT | SENT | DATA | 6200 | CLIENT | SERVER |
05:15:174245 | CLIENT | RCVD | ACK | 6200 | SERVER | CLIENT |
05:15:174347 | CLIENT | SENT | DATA | 6300 | CLIENT | SERVER |
05:15:174530 | CLIENT | RCVD | ACK | 6300 | SERVER | CLIENT |
05:15:174640 | CLIENT | SENT | DATA | 6400 | CLIENT | SERVER |
05:15:180601 | CLIENT | RETRANSMIT | DATA | 6000 | CLIENT | SERVER |
05:15:180666 | CLIENT | RCVD | ACK | 6000 | SERVER | CLIENT |
05:15:180702 | CLIENT | SENT | DATA | 6500 | CLIENT | SERVER |
05:15:180745 | CLIENT | RCVD | ACK | 6500 | SERVER | CLIENT |
05:15:180776 | CLIENT | SENT | DATA | 6600 | CLIENT | SERVER |
05:15:176719 | CLIENT | RETRANSMIT | DATA | 6400 | CLIENT | SERVER |
05:15:176819 | CLIENT | RCVD | ACK | 6400 | SERVER | CLIENT |
05:15:176874 | CLIENT | SENT | DATA | 6700 | CLIENT | SERVER |
05:15:182888 | CLIENT | RETRANSMIT | DATA | 6600 | CLIENT | SERVER |
05:15:182957 | CLIENT | RCVD | ACK | 6600 | SERVER | CLIENT |
05:15:182995 | CLIENT | SENT | DATA | 6800 | CLIENT | SERVER |
05:15:178977 | CLIENT | RETRANSMIT | DATA | 6700 | CLIENT | SERVER |
05:15:179089 | CLIENT | RCVD | ACK | 6700 | SERVER | CLIENT |
05:15:179134 | CLIENT | SENT | DATA | 6900 | CLIENT | SERVER |
05:15:184679 | CLIENT | RETRANSMIT | DATA | 6800 | CLIENT | SERVER |
05:15:184740 | CLIENT | RCVD | ACK | 6800 | SERVER | CLIENT |
05:15:184777 | CLIENT | SENT | DATA | 7000 | CLIENT | SERVER |
05:15:180712 | CLIENT | RETRANSMIT | DATA | 6900 | CLIENT | SERVER |
05:15:180807 | CLIENT | RCVD | ACK | 6900 | SERVER | CLIENT |
05:15:180867 | CLIENT | SENT | DATA | 7100 | CLIENT | SERVER |
05:15:186862 | CLIENT | RETRANSMIT | DATA | 7000 | CLIENT | SERVER |
05:15:186947 | CLIENT | RCVD | ACK | 7000 | SERVER | CLIENT |
05:15:182954 | CLIENT | RETRANSMIT | DATA | 7100 | CLIENT | SERVER |
05:15:183033 | CLIENT | RCVD | ACK | 7100 | SERVER | CLIENT |
